"seller id","warehouse id","store order id","order release id","order line id","seller order id","order id fk","cancellation reason","cancellation type","order creation date","order cancellation date","seller packet id","store packet id","order status","style id","sku code"
"31995","50622","131206613386436402901","8748842189","10748872066","80d7e158-b097-4b30-8997-78b5ba63e03b","5639924032","Cash Issue","Customer Request","2025-10-11 18:32:42.000","2025-10-11 22:21:20.000",,,"F","36646507","PEAXSARS117162946"
"31995","50622","131145239419052705503","8733016096","10732984420","69b5587f-21d7-4d6c-80ef-fb2a1659cfeb","5630129904","Incorrect size ordered","Customer Request","2025-10-04 16:03:42.000","2025-10-04 17:33:03.000",,,"F","34858673","PEAXKASS112050463"
"31995","50622","131186644749212127801","8744069016","10744077453","a8357806-1f3c-407b-bcb9-5bc5cd0a37ab","5636924308","Vendor Failed to Handover","CC Cancellation","2025-10-09 11:04:35.000","2025-10-09 22:03:28.000","1722881378","8744069016","F","34858673","PEAXKASS112050462"
"31995","50622","131198392275438861503","8746891593","10746912581","94ac788a-5d4a-4441-8887-4f7f2b73597f","5638729371","Duplicate Order","Customer Request","2025-10-10 19:42:32.000","2025-10-11 00:07:05.000",,,"F","36646503","PEAXSARS117162942"
"31995","50622","131187892494786403903","8744410196","10744418634","ad529026-0a49-4119-9e19-48d2058656e7","5637147465","Cash Issue","Customer Request","2025-10-09 14:32:34.000","2025-10-11 08:18:41.000","1723486094","8744410196","F","34858690","PEAXKASS112050543"
"31995","50622","131191620495651591501","8745523648","10745536148","955e207c-5f09-466b-b51a-b78310870c6d","5637873654","Vendor Failed to Handover","CC Cancellation","2025-10-10 00:53:53.000","2025-10-10 22:28:49.000","1723486056","8745523648","F","36018866","PEAXSARS115102004"
"31995","50622","131183681769594091101","8743695888","10743700445","3d22c85d-6b8d-4e80-82d2-aa63387c1dc2","5636675538","Delayed Delivery Cancellation","Customer Request","2025-10-09 02:50:46.000","2025-10-09 21:58:28.000","1722848313","8743695888","F","34858690","PEAXKASS112050539"
"31995","50622","131187521195342534301","8744310026","10744318464","7e217dbf-e021-40ba-849d-852e37afa96e","5637080620","Delayed Delivery Cancellation","Customer Request","2025-10-09 13:30:41.000","2025-10-09 19:35:44.000",,,"F","36644587","PEAXSARS117158435"
"31995","50622","131171634611968969601","8740749585","10740744647","86c671f6-6c51-4b44-8ec1-efe2da585684","5634750898","Ordered by mistake","Customer Request","2025-10-07 17:22:55.000","2025-10-10 06:05:34.000","1722180969","8740749585","F","34858692","PEAXKASS112050556"
"31995","50622","131130949969792653303","8729248052","10729204261","59d29a4f-54d4-423d-96b1-50e78a72c4b2","5627850695","Platform Restricted Cancellation","CC Cancellation","2025-10-03 00:22:08.000","2025-10-09 00:35:45.000","1717835242","8729248052","F","37191993","PEAXCOORD118962406"
"31995","50622","131187734908077307601","8744367051","10744375489","9a1236ff-68ea-4039-a8f9-34ba39e23b08","5637118606","Vendor Failed to Handover","CC Cancellation","2025-10-09 14:06:17.000","2025-10-10 22:28:45.000","1723486075","8744367051","F","34858673","PEAXKASS112050462"
"31995","50622","131173610831692692803","8741414303","10741409368","c3970ea3-ef8b-43b5-97e8-65b389c9a141","5635193403","Delayed Delivery Cancellation","Customer Request","2025-10-07 22:52:16.000","2025-10-07 23:00:38.000",,,"F","34858673","PEAXKASS112050463"
"31995","50622","131238183986289195503","8756624162","10756687405","890725be-c86e-4e77-8569-9abd0d6e7cde","5644649035","Delayed Delivery Cancellation","Customer Request","2025-10-15 10:14:28.000","2025-10-27 15:39:18.000","1727125860","8756624162","F","36644558","PEAXSARS117158402"
