"seller id","warehouse id","store order id","order release id","order line id","seller order id","order id fk","created on","style id","seller sku code","sku id","myntra sku code","size","vendor article number","brand","style name","article type","order status","packet id","seller packet id","courier code","order tracking number","seller warehouse id","cancellation reason id fk","cancellation reason","packed on","fmpu date","inscanned on","shipped on","delivered on","cancelled on","rto creation date","lost date","return creation date","final amount","total mrp","discount","coupon discount","shipping charge","gift charge","tax recovery","city","state","zipcode","gt charges","seller price"
"31995","50622","'131231856813211739003","8755338660","10755397249","dc7e7b69-ef8a-4231-ba7f-d08b8cfa4ad5","5643844006","2025-10-14 16:39:56.000","36646510","RP- VRUNDAVAN SILK- 470","117162949","PEAXSARS117162949","Onesize","RP- VRUNDAVAN SILK- 470- Lime Green","PEENGAX","PEENGAX Ethnic Motifs Zari Art Silk Patola Saree","Sarees","F",,,"flipkartlogistics",,"50622","44","Ordered By Mistake",,,,,,"2025-10-14 20:50:03.000",,,,"1950.00","6500.00","4550.00","0.00","0.00","0.00","0.00","New Delhi","DL","110021","194","1756"
"31995","50622","'131130913890723111903","8729230388","10729186597","a5e705ac-bc4a-466a-8104-bc2c2528e431","5627840003","2025-10-03 00:16:07.000","34858673","PEEN-26003-XXL","112050466","PEAXKASS112050466","XXL","PEEN-26003- Peach","PEENGAX","PEENGAX Floral Embroidered Art Silk Anarkali Kurta With Trousers And Dupatta","Kurta Sets","C","8729230388","1717835358","flipkartlogistics","MYSP1302036666","50622",,,"2025-10-03 10:52:43.000","2025-10-03 16:38:58.000","2025-10-04 14:30:45.000","2025-10-04 14:36:27.000","2025-10-06 15:19:46.000",,,,"2025-10-06 18:16:00","1405.00","7400.00","5995.00","0.00","0.00","0.00","0.00","Mumbai","MH","400013","194","1211"
"31995","50622","'131153353987751747403","8735793539","10735766562","e73dc1d1-8b10-4b34-bdbe-887a03bf9b45","5631746954","2025-10-05 14:36:08.000","34858667","PEEN-22001-S","112050435","PEAXKASS112050435","S","PEEN-22001- Green","PEENGAX","PEENGAX Floral Yoke Design V-Neck Thread Work Kurta With Trousers And Dupatta","Kurta Sets","C","8735793539","1720802415","flipkartlogistics","MYSP1304210784","50622",,,"2025-10-06 10:24:57.000","2025-10-07 15:19:50.000","2025-10-08 08:07:35.000","2025-10-08 08:12:11.000","2025-10-11 16:37:46.000",,,,,"1272.00","6700.00","5428.00","0.00","0.00","0.00","0.00","Pandharpur","MH","413304","194","1078"
"31995","50622","'131156291692949209801","8737466366","10737443470","7c35d325-ef9b-438e-b87d-5a1f6dccdfd7","5632663516","2025-10-05 22:45:45.000","36644555","PEEN- NOOR SILK- 502","117158400","PEAXSARS117158400","Onesize","PEEN- NOOR SILK- 502- Peach","PEENGAX","PEENGAX Ethnic Motifs Zari Kanjeevaram Saree","Sarees","C","8737466366","1720802478","EK_E2E","MYEP1086432536","50622",,,"2025-10-06 10:27:17.000","2025-10-06 16:40:00.000","2025-10-07 03:05:15.000","2025-10-07 03:12:13.000","2025-10-10 10:57:19.000",,,,,"1650.00","5500.00","3850.00","0.00","0.00","0.00","0.00","Nambiyur","TN","638458","194","1456"
"31995","50622","'131129881191798405703","8728695695","10728651899","04cc6154-c66d-44f3-9311-23a1b37f0582","5627546668","2025-10-02 21:24:00.000","37191993","PEEN- 502- L","118962407","PEAXCOORD118962407","L","PEEN- 502- Pink","PEENGAX","PEENGAX Floral Embroidered Zari Work Kurta With Palazzos","Kurta Sets","C","8728695695","1717835338","flipkartlogistics","MYSC1215738951","50622",,,"2025-10-03 10:39:06.000","2025-10-03 16:38:59.000","2025-10-04 14:31:16.000","2025-10-04 14:35:52.000","2025-10-08 13:51:37.000",,,,"2025-10-08 14:48:00","1700.00","6800.00","5100.00","0.00","0.00","0.00","0.00","Jaipur","RJ","302020","194","1506"
"31995","50622","'131204520173591155503","8748130748","10748156078","d7f4c7a2-222c-4220-8e3b-3e6b2c99bb81","5639500308","2025-10-11 12:43:50.000","35448015","PEEN- KOMAL- 103","113565547","PEAXSARS113565547","Onesize","PEEN- KOMAL-103- Sky Blue","PEENGAX","PEENGAX Pure Cotton Bagru Saree","Sarees","C","8748130748","1725737280","flipkartlogistics","MYSC1220008843","50622",,,"2025-10-13 11:19:50.000","2025-10-13 21:02:15.000","2025-10-14 08:01:28.000","2025-10-14 08:06:52.000","2025-10-17 11:16:45.000",,,,,"1007.00","4800.00","3793.00","0.00","0.00","0.00","0.00","Delhi","DL","110085","194","813"
"31995","50622","'131130392586531044601","8728943143","10728899347","79c62ee3-1757-4c91-9acd-1bd01ed11fa8","5627686085","2025-10-02 22:49:14.000","34858667","PEEN-22001-S","112050435","PEAXKASS112050435","S","PEEN-22001- Green","PEENGAX","PEENGAX Floral Yoke Design V-Neck Thread Work Kurta With Trousers And Dupatta","Kurta Sets","C","8728943143","1717835314","flipkartlogistics","MYSP1302036739","50622",,,"2025-10-03 10:52:08.000","2025-10-03 16:38:59.000","2025-10-04 14:30:14.000","2025-10-04 14:35:49.000","2025-10-11 16:23:15.000",,,,"2025-10-11 17:45:00","1272.00","6700.00","5428.00","0.00","0.00","0.00","0.00","Jammu","JK","181121","194","1078"
"31995","50622","'131120334765786508401","8725803573","10725755601","150483f7-92e3-4573-ab46-1ecf36db6478","5625799091","2025-10-01 18:52:56.000","37191993","PEEN- 502- XL","118962408","PEAXCOORD118962408","XL","PEEN- 502- Pink","PEENGAX","PEENGAX Floral Embroidered Zari Work Kurta With Palazzos","Kurta Sets","F","8725803573","1716936354","flipkartlogistics","MYSC1215333112","50622","88","Platform Restricted Cancellation","2025-10-02 10:46:18.000","2025-10-03 16:39:00.000","2025-10-04 14:32:18.000","2025-10-04 14:38:22.000",,"2025-10-09 23:52:07.000",,,,"1700.00","6800.00","5100.00","0.00","0.00","0.00","0.00","Jaipur","RJ","302020","194","1506"
"31995","50622","'131153007451521421101","8735624864","10735597430","49f6f135-9cf5-4a39-b80f-d7a1bbb6a2cb","5631648088","2025-10-05 13:38:22.000","34858690","PEEN-26002-XL","112050542","PEAXKASS112050542","XL","PEEN-26002- Brown","PEENGAX","PEENGAX Floral Yoke Design Regular Thread Work Kurta With Trousers And Dupatta","Kurta Sets","C","8735624864","1720802386","flipkartlogistics","MYSC1217304122","50622",,,"2025-10-06 10:29:36.000","2025-10-07 15:19:50.000","2025-10-08 07:59:43.000","2025-10-08 08:06:49.000","2025-10-10 15:30:01.000",,,,"2025-10-11 09:00:00","1405.00","7400.00","5995.00","0.00","0.00","0.00","0.00","Pune","MH","411002","194","1211"
"31995","50622","'131125482373301687903","8726986347","10726938414","7fa7697f-476c-43da-9714-3700d17ac07e","5626514865","2025-10-02 09:10:52.000","36644569","PEEN- RUHI SILK- 702","117158413","PEAXSARS117158413","Onesize","PEEN- RUHI SILK- 702- Maroon","PEENGAX","PEENGAX Woven Design Zari Banarasi Saree","Sarees","F","8726986347","1716936378","EK_E2E","MYEC1068183517","50622","32","Ordered by mistake","2025-10-02 10:47:18.000","2025-10-03 17:34:43.000",,,,"2025-10-03 22:01:11.000",,,,"1560.00","5200.00","3640.00","0.00","0.00","0.00","0.00","Jaigaon","WB","736182","194","1366"
