"seller_id","warehouse_id","myntra_sku_code","seller_sku_code","style_id","sku_id","brand","order_created_date","inscanned_on","fmpu_date","order_delivered_date","return_created_date","refunded_date","order_rto_date","is_refunded","exchange_id","order_id","order_group_id","order_line_id","seller_order_id","status","store_packet_id","seller_packet_id_fk","quantity","return_id","return_mode","return_reason","return_status","forward_tracking_number","return_tracking_number","master_bag_id","lmdo_last_modified_on","gatepass_id","gatepass_status","gatepass_type","gatepass_lastmodified"
"31995","50622","PEAXCOORD118962405","PEEN- 502- S","37191993","118962405","PEENGAX","2025-10-02","2025-10-04",,"2025-10-04","2025-10-05","2025-10-06",,"1",,"8728074638","5627181612","10728030840","53e03c4c-852f-483e-b1c7-695be6a91841","Return","8728074638","1717835168","1","100086754623","OPEN_BOX_PICKUP","Product image was better than the actual product","DLS","MYSC1215749552","MYSR1159042924",,"2025-10-13 18:40:10.000",,,,
"31995","50622","PEAXKASS112050542","PEEN-26002-XL","34858690","112050542","PEENGAX","2025-09-29","2025-10-01",,"2025-10-06","2025-10-06","2025-10-07",,"1",,"8720458335","5622525734","10720402253","c5fe6b9f-1144-4ce4-8e80-a36b2ec68b33","Return","8720458335","1715175289","1","100087614142","OPEN_BOX_PICKUP","Size too big","DLS","MYEC1067813292","MYSR1159684092",,"2025-10-18 17:49:28.000",,,,
"31995","50622","PEAXKASS112050419","PEEN-25001- L","34858663","112050419","PEENGAX","2025-10-08",,,,"1970-01-01",,"2025-10-08",,,"8741866322","5635476940","10741861400","42ce181f-e6c4-40a3-9242-c0b5e31e8e0d","RTO","9788220795","1722180917","1",,,,,"MYSC1218095969",,,"2025-10-13 18:40:10.000",,,,
"31995","50622","PEAXKASS115371272","PEEN- 2098- XL","36106850","115371272","PEENGAX","2025-10-04","2025-10-07",,"2025-10-11","2025-10-11","2025-10-12",,"1",,"8734217175","5630831385","10734185871","eda5a69b-0448-47ff-9797-86461c0cb07c","Return","8734217175","1720802532","1","100089759445","OPEN_BOX_PICKUP","Product image was better than the actual product","DLS","MYSP1304214328","MYSR1161288896",,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXKASS113784541","PEEN- 2094- XL","35524159","113784541","PEENGAX","2025-10-01","2025-10-04",,,"1970-01-01",,"2025-10-06",,,"8725763496","5625774269","10725715524","81896957-dd22-453f-80e8-fb55e218c8d4","RTO","8725763496","1716936359","1",,,,,"MYSC1215333316",,,"2025-10-13 18:40:10.000",,,,
"31995","50622","PEAXCOORD118962408","PEEN- 502- XL","37191993","118962408","PEENGAX","2025-09-30",,,,"1970-01-01",,"2025-10-01",,,"8721744159","5623303722","10721689088","389e2ac3-9861-41b7-a15f-0c9d45089d9b","RTO","8721744159","1715175332","1",,,,,"MYSP1300260679",,,"2025-10-04 16:48:10.000",,,,
"31995","50622","PEAXKASS113784540","PEEN- 2094- L","35524159","113784540","PEENGAX","2025-09-28","2025-09-30",,"2025-10-03","2025-10-07","2025-10-08",,"1",,"8718932092","5621648402","10718874309","a89a6e6e-4248-4dad-991c-673d4ee71cfc","Return","8718932092","1714192423","1","100088023880","OPEN_BOX_PICKUP","Product was dirty and had stains","DLS","MYSC1213909766","MYSR1159987901",,"2025-10-17 14:21:02.000",,,,
"31995","50622","PEAXKASS112050540","PEEN-26002-M","34858690","112050540","PEENGAX","2025-10-09","2025-10-11",,"2025-10-14","2025-10-20","2025-10-21",,"1",,"8744349705","5637107141","10744358143","f5a55786-84b8-4aab-a759-df209261e6b7","Return","8744349705","1723486070","1","100093077232","OPEN_BOX_PICKUP","Product image was better than the actual product","DLS","MYEP1087220996","MYSR1163713927",,"2025-11-03 15:47:51.000",,,,
"31995","50622","PEAXSARS113565551","PEEN- KIMORA- 1902","35448019","113565551","PEENGAX","2025-09-23","2025-09-25",,"2025-09-29","2025-10-02","2025-10-03",,"1",,"8702260388","5612278866","10702191451","f24455ca-12c4-4e31-b7d1-64dc64db7e6d","Return","9776449565","1707783412","1","100085716443","OPEN_BOX_PICKUP","Received a poor quality product","DLS","MYEC1066512209","MYSR1158270700",,"2025-10-14 15:23:48.000",,,,
"31995","50622","PEAXKASS112050539","PEEN-26002-S","34858690","112050539","PEENGAX","2025-09-26","2025-09-28",,"2025-10-03","2025-10-05","2025-10-06",,"1",,"8711689253","5617608715","10711626549","a9180a30-3739-4175-bb60-34d0cdba9d32","Return","8711689253","1711713898","1","100086950996","OPEN_BOX_PICKUP","I did not like the fit","DLS","MYSP1297983371","MYSR1159185729",,"2025-10-29 14:41:00.000",,,,
